item_id,text,annotator_id,label
15,"Oh, immigration as a concern. 👌 <url>",Ann3,0
565,The heated debates over migration won't disappear after the #Brexit referendum. <url> <url>,Ann1,0
207,we dont want afghan refuges in Pakistan than why are we criticizing Briton if they dont want muslim refuges. #Brexit,Ann4,0
3,"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",Ann5,0
271,Hahah #BPL fans dey cry #BREXIT !! No foreigners please..Wunna go make wunna own leagues. By the way some pointed... <url>,Ann5,1
534,"Yeap as the market continues to tank, &amp; that was from foreign election if DT get elected the market will be crash  <url>",Ann6,0
121,"This ""Muslim Ummah"" word echoes only in Pakistan. 53 Muslim countries including Saudi Arabia don't care about that.  <url>",Ann1,0
515,#ENGAUS If we had an Australian style points system for foreigners we wouldn't have just 'whitewashed' them in the rugby #Brexit #Remain,Ann3,0
83,"Filipinos who don't think #Brexit has an effect on our country: The UK is one of our biggest foreign (direct) investors. Third, I think.",Ann5,0
247,Everyone who votes against #Brexit to remain in the EU should personally take a migrant into their own home,Ann1,0
615,"My issue with #Brexit is the pure hatred &amp; racism that comes with it, stepping back into Nazi Germany. Foreigners aren't to blame, banks are",Ann3,0
692,"Many say climate change is world's greatest problem but #Brexit, Trump, terrorism prove that plain old hatred of others is much bigger.",Ann5,0
151,"One could have easily solved the 10 million Syrian refugees crisis for that amount of money.
<url>",Ann2,0
596,"#EURef 
White people saying #Brexit is 'racist' when #EU is institutionally racist mad for 'whites' is as daft as saying muslim is a 'race'",Ann6,0
23,Germany's ageing population problem is about to be fixed with a young mass migration from Britain #Brexit,Ann2,0
284,"Usa should do something against Turkey's islamization,because It's the last   secular muslim country.

#Brexit <user> <user>",Ann3,0
373,"Well #Brexit looks like #Remain will ""win"" and by win I mean enjoy the continued Muslim invasion, sharia enforcement. Idiots.",Ann5,1
247,Everyone who votes against #Brexit to remain in the EU should personally take a migrant into their own home,Ann6,0
783,"Better watch out Merkel, the German people don't like the Muslim invasion either. 
Get ready for the German #Brexit!",Ann6,0
563,"I don't believe for 1 bit that immigration was the decisive issue in the #BrexitVote.
Big fat Brussels is the Issue. <url>",Ann6,0
284,"Usa should do something against Turkey's islamization,because It's the last   secular muslim country.

#Brexit <user> <user>",Ann1,0
337,"Not heard 1 MP 2day seriously address the immigration problem and how they will deal with it. They haven't listened to the people.
#Brexit",Ann5,0
53,Wow! I feel so bad for those who wanted to be free and now will be Islam shoved down their throats <url>,Ann2,0
265,"#Brexit born from nationalism, racism and terrorism is leading to a wave of xenophobia. ""This is not what we wanted"" my butt.",Ann3,0
438,The EU does have difficult policies especially in the immigration #Brexit,Ann4,0
763,RT <user>: A quick congrats to Any Muslim leader who encouraged Muslims to abstain or #brexit #birmingham,Ann6,0
49,"Well he's a fave with the Drs why not start on the 150,000+ immigrant nurses we have.. #Brexit #immigration #NHS  <url>",Ann2,1
704,RT <user>: Muslim business fire-bombed in Birmingham. Hope you're enjoying your #Brexit aftermath <user> <user> <url>,Ann6,0
678,Revisit - Replace foreign with the Establishment (or whatever PC name it wishes to be known by)Same instinct applies <url>,Ann3,0
272,<user> lols feeling ko kasi wala akong paki sa #Brexit masyado like everyone else so tinatry ko makarelate on a personal level,Ann3,0
243,"THIS!!!
Official German Foreign Office tweet.
#EUref #Brexit 🇩🇪🇬🇧🇪🇺
<url> <url>",Ann2,0
705,I actually think years of behind the scenes and public counter Jihad work played a part in this historic day. #brexit,Ann2,0
533,#Brexit = ur racist grandpa not knowing how to talk to ur Muslim friend at bbq &amp; then going inside to watch golf instead.,Ann3,0
175,Im a bloody foreign or immigrant  person this is im call everyday at work but im proud to live here #Brexit all the best,Ann4,0
641,"#Brexit: UK Not Only Lost In #Euro2016, They Are So Stupid, If One Muslim Immigrated d Whole Family Becomes Children Like Cousin Nephew, Dog",Ann5,1
167,"<user> Opps. 
Time to kick Islam out of Britain | Free Britain #Brexit
<url>",Ann1,1
395,"""On subject of #Brexit, Donald Trump, esp in Scotland, once again proves that he barely sees through foreign policy"" <url>",Ann5,0
