item_id,text,annotator_id,label
190,Donald Trump wants to make AmeriKKKa great again. His support for fear and anti-immigration fueling #Brexit should be a clue to everyone,Ann1,0
195,This from a Black London immigrant politician (ie you're the problem pal) won't go down well with #Brexit Englanders <url>,Ann5,0
27,"""That is what it means to be an immigrant in Britain now. It means total uncertainty."" <url> #Brexit #EURefResults",Ann3,0
13,"#Brexit, followed by economic crisis &amp; PM Cameron's resignation, UK decides to deport Nawaz Sharif.
UK can't afford Martial Law. #UKDecides",Ann3,0
561,"#Brexit Oppressive Islamic Sharia Law Is Incompatible With Liberty &amp; The Fundamental Principles Of Democracy, Deport To Middle East &amp; Africa",Ann6,1
578,"RT <user>: It looks like the people most worried about foreigners taking their jobs, are people to old to have jobs. #Brexit <url>",Ann4,0
638,"#Brexit, Lexit, racism, immigration &amp; seeds of hope, important article by my <user> colleague <user> <url>",Ann6,0
531,"Whilst EU do meddle too much in our affairs and immigration needs sorting, can't help thinking #brexit will ruin our country. #worried",Ann5,0
8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,Ann6,0
781,A foreigner we've neither heard of nor voted for nor care about warns us about #brexit. <user> Who is he? <url>,Ann2,0
702,"#Brexit and benefits: why leaving the EU won't solve Britain's migration issues
<url> <url>",Ann5,0
19,Let Canada be the world let the world be Canada 4th khalifa of Islam Ahmadiyya  <url>,Ann6,1
131,"<user> Clearly Donald Trump's fault.  First he forces a muslim to kill gay Latinos in Orlando, then #Brexit, and now #Istanbul.",Ann5,0
768,We NEED control over immigration otherwise this tiny Country won't have a green field left. Better now than later <url>,Ann6,0
55,.<user> <user> <user> 2 main causes of #Brexit: Immigration &amp; sick of political establishment. Seems like USA. We need #Trump.,Ann4,0
690,In wake of #Brexit it is fitting Britain's newest literary hero will be an Argentine immigrant <user> <user> #lacasitagrande,Ann6,0
764,"STOP MUSLIM IMMIGRATION.
#Brexit #Frexit #Swexit #bernie #Trump2016 #FeelTheBern #libcrib #uniteblue #NeverHillary <url>",Ann2,0
516,"#JeremyCorbyn ran a reluctant REMAIN campaign cause he is PRO MORE IMMIGRATION ! He even suggested a Special Migrant Fund !
#Brexit
#Jexit",Ann6,0
67,Teens on Tram Seen on Video Hurling Anti-Immigrant Abuse <url> #Brexit,Ann2,0
8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,Ann5,0
55,.<user> <user> <user> 2 main causes of #Brexit: Immigration &amp; sick of political establishment. Seems like USA. We need #Trump.,Ann6,0
37,"<user> 
#Brexit wants to deport Brits?
#EURefResults",Ann4,0
136,UK #Brexit reps will consult Big Boss in USA first (US will forbid any UK foreign policy change on #Russia/#Syria (#CrossTalk #RT) #CapeTown,Ann6,0
133,"Dont see why immigration is a pre condition of trade. We seem to trade ok with US, China. Japan and Korea without it <url>",Ann6,0
536,"Update June-29-16
 #Brexit #Europe #BrexitVote #VoteLeave
don't forget Islam religion of peace.... <url>",Ann5,1
494,Didn't the Nazis use to say it &amp; Britain received Polish immigrant pilots who fought in Battle of Britain? #Brexit <url>,Ann3,0
777,It's your fault Muslim and African immigrants! Your not wanted ANYWHERE! Stay the fuck away from CIVILIZED countries!  #Brexit,Ann1,1
47,"Justifiable anti-immigration sentiment in the UK may go along with a rejection of ""globalism."" <url>",Ann3,0
611,"including perspectives on finance, foreign policy, development &amp; inequality <url>",Ann5,0
747,<user> this has sadly been going on for a long while due to globalist elite sponsored terrorism &amp; Islamaphobia. Less to do with #brexit,Ann4,0
153,"#Brexit RUN WHILE YOU STILL CAN! FASTER! So not kidding, that muslim mayor is going to tear the pleace down! <url>",Ann5,1
482,EU now looking precarious. Massive wake up call on immigration for everyone. The nation speaks #Brexit #Remain,Ann6,0
719,"I hope they deport all South Africans who moved to England, seeing as most of them showed support for #brexit.",Ann3,1
411,<user> seems that the #Brexit camp was right after all: foreigners are pooring through our national defenses like it's a Swiss cheese.,Ann5,1
681,"Amid the #Brexit lunacy, I wrote an assessment of Duterte's election in the #Philippines on security &amp; terrorism <url>",Ann6,0
112,"Workday 3 #Brexit let's recap. No money to NHS, no immigration control, sterling at $1.33 (31 yr low), bank, airlines &amp; property shares tank",Ann6,0
693,this is another example of trying to placate the Muslim Mayor.  Sad the women will be wearing sheets soon <url>,Ann4,1
343,"Unfortunately,  most didn't understand what leaving EU really means.  They just want the foreigners out. Hmmm <url>",Ann5,0
521,Ironically many against white East Euros while UKPol now say vote may increase immigration from Asia (curry workers) <url>,Ann6,0
171,"According to Humphrey and Yes, Minister #Brexit has always been UK foreign policy:
<url>",Ann4,0
714,Nothing says “empire” like owing fealty to foreigners <url>,Ann4,0
697,"Have you heard George Osborne wants to be Foreign Secretary in a new Tory government?
As if the world wasn't in a bad enough state

#Brexit",Ann3,0
479,Why immigration pushed Britons to Brexit: <url> vía <user> Muy buen articulo para entender #Brexit,Ann3,0
21,"UK opted for #BREXIT + a Muslim London Mayor, while #Trump might be nxt US President=isolationsts Where does this leave the rest of us?Scary",Ann1,0
7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",Ann1,0
503,Hardly. Am Irish and celebrate #brexit as throwing off the shackles of an unaccountable foreign based administration <url>,Ann4,0
752,RT <user>: DEPORT PADDINGTON BEAR #Brexit,Ann5,0
213,I don't see how Europe can ever recover from their suicidal immigration policies. Especially as passive members of the disastrous EU.#Brexit,Ann1,0
649,European working in UK? 'How will Brexit affect migrant workers?' - info following #Brexit <url> <url>,Ann6,0
401,A terrorist in her town is not appreciated. No one came to greet me. I have done my vote #Brexit <url>,Ann3,0
484,The EU is going to collapse under its own weight. EU will become Weimar with a Muslim invasion raping and pillaging the wreckage. #brexit,Ann1,1
648,<user> in this sense #Brexit  is a good move.. otberwise terrorist will move free in whole of t euro zone after turkish free travel,Ann1,0
182,"RT <user>: #Brexit 2/2 Does no one blame Merkel and her steadfast refusal to mollify Britain over non-war refugees etc, in precipitating thi…",Ann6,0
434,meaning ISLAM rules the world <url>,Ann4,0
18,I wonder what would the post-#Brexit <user> be. Will there be immigration booths in the middle of the Channel Tunnel?,Ann1,0
214,Medias SPINNING#Brexit old whites&amp;Trump speaking as racist Like people here want their country back&amp;control refugees <url>,Ann6,0
53,Wow! I feel so bad for those who wanted to be free and now will be Islam shoved down their throats <url>,Ann6,1
335,Watch this British lady sound off on the rising Anti-Muslim and Anti-Immigrant bigotry in her country #Brexit <url>,Ann5,0
452,"It's strange to be gone &amp; return to: a sit-in, some major SCOTUS rulings on immigration &amp; affirmative action, &amp; the whole #Brexit disaster/",Ann2,0
460,Not all foreign people who wants to go to the uk have bad intentions. Improve your law. The #Brexit isn't gonna help your economy. 👋🏼,Ann4,0
631,"<user> Rory my friend, this is the level of English football WITHOUT foreign players #Brexit",Ann3,0
720,Dividing the EU is a huge mistake at a time of deadly terrorist threat #Brexit #EUref,Ann1,0
486,RT <user>: The U.K. Must ban Islam and close all mosques! <url>,Ann2,1
607,#brexit is about immigration pure and simple. The lawlessness that accompanies open borders smothers liberty. Britain caught on. Will we...?,Ann3,1
400,UK Gives Obama &amp; Islam A Big ‘F**K YOU!’ – Votes To LEAVE The EU &amp; Muslim Terror Refugees – #BREXIT <url>,Ann1,0
395,"""On subject of #Brexit, Donald Trump, esp in Scotland, once again proves that he barely sees through foreign policy"" <url>",Ann1,0
50,"RT: ggreenwald: RT pwnallthethings: Why did Brits vote #Brexit?
49%: Principle of sovereignty
33%: Immigration / b… <url>",Ann5,0
411,<user> seems that the #Brexit camp was right after all: foreigners are pooring through our national defenses like it's a Swiss cheese.,Ann6,0
169,So it turns out immigration will not be controlled Hshahaha #Brexit,Ann5,0
454,"#Brexit 1. No £350m p/w to NHS 2. No reduction in immigration 3. No leaving the EU. Wtf was the point of this decisive, lying campaign?",Ann2,0
