item_id,text,annotator_id,label
331,gud news for paki bastards-India is now a member of MTCR.Now v hope predator drones to fuck pakistanis' asshole haha <url>,Ann2,1
202,"Like everything I've called this year, the dying of famous people, the muslim immigration and now the #BREXIT, WW3 is not too far away 2018.",Ann5,1
204,Free movement of people in #Merkel-speak means for the UK to accept EU migrant quotas. <url>,Ann4,0
58,UK is the 5th largest economy-- wanted sovereignty back. Tired of stupid immigration and paying for others to ride on their success. #Brexit,Ann6,0
534,"Yeap as the market continues to tank, &amp; that was from foreign election if DT get elected the market will be crash  <url>",Ann3,0
50,"RT: ggreenwald: RT pwnallthethings: Why did Brits vote #Brexit?
49%: Principle of sovereignty
33%: Immigration / b… <url>",Ann5,0
55,.<user> <user> <user> 2 main causes of #Brexit: Immigration &amp; sick of political establishment. Seems like USA. We need #Trump.,Ann6,0
383,Horrible but predictable that #Brexit has stirred and encouraged anti immigrant / racist tendencies. #Solidarity <url>,Ann1,0
669,"Cameron was a good PM but did not deal with immigration issue, easy to implement controls, he's right to step down he let us down #Brexit",Ann5,0
316,"Even if #Brexit wins, immigration won't stop. Brits should have reacted in the 50s and 60s when Pakis and Hindus started to migrate to UK.",Ann2,0
702,"#Brexit and benefits: why leaving the EU won't solve Britain's migration issues
<url> <url>",Ann5,0
650,Real Big. For all this saying we need to Unite.  go stand outside any foreign centres throughout the UK. #brexshit <url>,Ann3,0
485,Hopefully now a country with a military the size of #nypd will cease encouraging foreign adventures of neoconservative Americans. #Brexit,Ann2,0
598,"<url> 4,500 Muslim invaders that YOU pay for, why not leave the EU with the bill? #Brexit",Ann4,1
160,"I love that Faisal Islam is hecking cabinet members as they arrive. ""Do you have a #brexit plan?""",Ann2,0
400,UK Gives Obama &amp; Islam A Big ‘F**K YOU!’ – Votes To LEAVE The EU &amp; Muslim Terror Refugees – #BREXIT <url>,Ann2,0
505,#VisitBritainBecause thousands of peaceful refugees can't be wrong. #MAGA #Brexit #Trump #BritainAdrift <url>,Ann1,0
34,"If you voted to #Remain, by definition you are a terrorist and ally of ISIS.

#LeaveWins #Brexit 🇬🇧🇬🇧🇬🇧",Ann2,0
484,The EU is going to collapse under its own weight. EU will become Weimar with a Muslim invasion raping and pillaging the wreckage. #brexit,Ann1,1
18,I wonder what would the post-#Brexit <user> be. Will there be immigration booths in the middle of the Channel Tunnel?,Ann4,0
428,When the Dust Settles: Migration Policy after Brexit <url>,Ann3,0
7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",Ann1,0
697,"Have you heard George Osborne wants to be Foreign Secretary in a new Tory government?
As if the world wasn't in a bad enough state

#Brexit",Ann3,0
93,RT <user>: 😭😭😭😭😭😭😭😭😭😭😭 #ausvotes #auspol RT <user>: John Howard says the immigration debate in Britain was in no way racist…,Ann3,0
253,#EU foreign policy caused the #RefugeeCrisis by creating chaos in the MD #Voteleave &amp; End the Corporate Warmongering Elites #Brexit #EUref,Ann3,0
572,"Some #brexit fallout for banks. Stress tests, Dodd-Frank, U.S. vs foreign banks. <url> <url>",Ann5,0
245,<user> <user> No the EU is not the fear but the UK has an issue with immigration which was a part of #BREXIT they may close borders,Ann5,0
676,"<user> Yes, they may come up with the theory that Rahul's foreign visit led to Britain's exit from EU #Brexit",Ann4,0
31,"MEPs claim Brexit won because of Nigel Farage's 'Nazi propaganda'
He might be a foreigner but he's spot on #Brexit  <url>",Ann1,0
340,"Passenger at work: ""Voted #Brexit as want Our country to be how it used to be full of white ppl an no niggers or pakis roaming our streets…""",Ann2,0
287,"In so far as #EU's liberal immigration was also an issue in #Brexit, #Muslims can 'claim credit' for the break-up, too",Ann4,0
311,"<user> A BRIEF ILLUSTRATED GUIDE TO UNDERSTANDING ISLAM 

<url>

#Brexit #BrexitVote #BrexitOrNot",Ann4,0
21,"UK opted for #BREXIT + a Muslim London Mayor, while #Trump might be nxt US President=isolationsts Where does this leave the rest of us?Scary",Ann1,0
214,Medias SPINNING#Brexit old whites&amp;Trump speaking as racist Like people here want their country back&amp;control refugees <url>,Ann1,0
495,"A true shame for a country that once embraced foreigners like me:Post-#Brexit,it’s become OK to be racist in Britain-<url>",Ann2,0
213,I don't see how Europe can ever recover from their suicidal immigration policies. Especially as passive members of the disastrous EU.#Brexit,Ann1,0
94,"The same anti-women, anti-black, anti-immigrant political rhetoric that won the #Brexit vote could win here <user> #WAMNYC",Ann3,0
2,RT <user>: There was more to #Brexit than immigration ugghhh,Ann3,0
248,"Okay, so Trump comments tomorrow, Putin probably does some shit, then a terrorist attack somewhere, then the debates. 2016 everyone! #Brexit",Ann3,0
442,Codes}Diversity LGBTQT SaveClimate Coal Oil Syrians Muslims Refugees Booze Pot.BeyondBrazen&amp;Didn'tLoseAStep#Brexit O.C.#Ableg #Yeg CNN NBC{{,Ann4,0
372,The anti-immigrant sentiment is what led to these results. Now let's see what #Britain can do without the immigrants #Brexit,Ann3,0
607,#brexit is about immigration pure and simple. The lawlessness that accompanies open borders smothers liberty. Britain caught on. Will we...?,Ann3,1
351,Some lady at the Walmart checkout mentioned to a #desi cashier she favoured   #Brexit as the uk has an immigration problem 😁,Ann3,0
375,he protects tells media hide Idaho girl’s sex assault by Muslim migrants <url>  via <user> <url>,Ann1,0
436,Thank you #Brexit a life-changing vot e in the name of immigration panic. Seems legit. 🙌🏻🇪🇺🙌🏻 <url>,Ann2,0
103,RT <user>: Congratulations to Britain! #Brexit a repudiation of global cabals and mass immigration. Merkel can keep her Muzzies <url>,Ann5,1
386,"Verhofstadt says there is no need, though, to accept Leave campaign lies: on £350m, on Turkey, on immigration #Brexit",Ann4,0
376,"<user> 
#Orlando #BREXIT

""Islamic expert"" <user> Islam is peaceful !
Muslims Say Otherwise! <url>",Ann2,0
57,<user> ha! Was just saying that to <user> cabin crew on my flt to Berlin. They are split 50-50 on #Brexit. Immigration the issue.,Ann1,0
100,#IVotedLeave because there are no upper limits to immigration numbers if we remain #brexit,Ann4,0
718,"Carswell and Hannan Freeze Out Farage, Say They WON'T Stop Immigration #Brexit <url> <url>",Ann4,0
169,So it turns out immigration will not be controlled Hshahaha #Brexit,Ann1,0
163,"Ironic that Immigration is the big issue for voters, because we've fucked up our country so much we'll struggle to attract them. #Brexit",Ann6,0
28,"RT <user>: I have lived to see so many things- innovations, wars, refugee crisis etc. Now #Brexit. History changed yet again <url>",Ann2,0
199,So. Did unfettered Muslim refugee  immigration lead to #Brexit ? Will rest of EU unravel now for same reason?,Ann2,0
285,The British pound has dropped. Hope they're ready for more foreign visitors. #brexit,Ann1,0
632,It's time too kick out you and your Muslim  administration  <url>,Ann5,1
326,"Amazing article about community and how multiculturalism and immigration are here to stay, regardless of #Brexit <url>",Ann4,0
624,"NYT: ""Most research shows that immigration has boosted the British economy. But evidence doesn't vote, people do."" #Brexit",Ann6,0
299,"<user> <user> Muslim invasion worked out for Constantinople, it can work for the UK! #Brexit",Ann4,1
177,"<user> what does ""some"" control over immigration actually mean? What do you have in mind? #Brexit",Ann2,0
596,"#EURef 
White people saying #Brexit is 'racist' when #EU is institutionally racist mad for 'whites' is as daft as saying muslim is a 'race'",Ann4,0
661,"Britain blaming #Brexit on racism lol these are terrorist attacks in the past 6 years in the EU, seems to be a trend <url>",Ann5,1
197,RT <user>: Everything else is &gt; RT <user>: British anti-immigration leader says #Brexit is Obama's fault <url>,Ann1,0
119,Shocked by the covert racism revealed by many brexiteers. Seems immigration was driving force behind the decision to leave. Tragic #Brexit,Ann3,0
506,"#Saudi plans mass muslim invasion via EU if #VoteRemain wins!! Save #UK Save the Queen Save Western Society and #VoteLeave 
#Brexit",Ann4,1
119,Shocked by the covert racism revealed by many brexiteers. Seems immigration was driving force behind the decision to leave. Tragic #Brexit,Ann6,0
495,"A true shame for a country that once embraced foreigners like me:Post-#Brexit,it’s become OK to be racist in Britain-<url>",Ann5,0
